league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,np_xg,xg,xa,np_goals,key_passes,xg_chain,xg_buildup
ENG-Premier League,2425,Bournemouth,Remy Rees-Dottin,ENG,FW,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
ENG-Premier League,2425,Bournemouth,Ryan Christie,SCO,MF,29,1995,29,27,2117,23.5,2,3,5,2,0,0,9,0,0.09,0.13,0.21,0.09,0.21,1.625680811703205,1.625680811703205,3.819417158141732,2,42,9.731656536459923,6.203945886343718
ENG-Premier League,2425,Bournemouth,Tyler Adams,USA,MF,25,1999,28,21,1965,21.8,0,3,3,0,0,0,7,0,0.0,0.14,0.14,0.0,0.14,1.4070341289043427,1.4070341289043427,1.5068945437669754,0,18,7.6065224930644035,5.169210600666702
ENG-Premier League,2425,Bournemouth,Zain Silcott-Duberry,MSR,MF,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
ENG-Premier League,2425,Brentford,Ben Mee,ENG,DF,34,1989,7,2,183,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.030085433274507523,0.030085433274507523
ENG-Premier League,2425,Brentford,Bryan Mbeumo,CMR,"MF,FW",24,1999,38,38,3414,37.9,20,7,27,15,5,6,3,0,0.53,0.18,0.71,0.4,0.58,9.06514835730195,13.63216146454215,10.376488702371716,15,70,24.377113293856382,9.351834732107818
ENG-Premier League,2425,Brentford,Christian Nørgaard,DEN,MF,30,1994,34,34,2819,31.3,5,4,9,5,0,0,8,1,0.16,0.13,0.29,0.16,0.29,5.773721532896161,5.773721532896161,1.9166031386703253,5,18,14.599624687805772,11.122066244482994
ENG-Premier League,2425,Brentford,Edmond-Paris Maghoma,ENG,MF,23,2001,8,0,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
ENG-Premier League,2425,Brentford,Ethan Pinnock,JAM,DF,31,1993,22,21,1913,21.3,2,0,2,2,0,0,2,0,0.09,0.0,0.09,0.09,0.09,0.9376051723957062,0.9376051723957062,1.5102842152118683,2,8,8.141121708787978,7.110404069535434
ENG-Premier League,2425,Brentford,Fabio Carvalho,POR,"FW,MF",21,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,0.4,0.2,0.59,0.4,0.59,2.3463018126785755,2.3463018126785755,0.6756551787257195,2,4,4.785842690616846,1.7638856619596481
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
ENG-Premier League,2425,Brentford,Frank Onyeka,NGA,MF,26,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.68868612870574,1.68868612870574,1.5073444563895464,0,19,8.303025526925921,5.712598657235503
ENG-Premier League,2425,Brentford,Gustavo Nunes,BRA,MF,18,2005,3,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
ENG-Premier League,2425,Brentford,Hákon Valdimarsson,ISL,GK,22,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.23789019882678986,0.23789019882678986
ENG-Premier League,2425,Brentford,Igor Thiago,BRA,FW,23,2001,8,1,175,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
ENG-Premier League,2425,Brentford,Jayden Meghoma,ENG,DF,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
ENG-Premier League,2425,Brentford,Keane Lewis-Potter,ENG,"DF,MF",23,2001,38,36,3093,34.4,1,3,4,1,0,0,7,0,0.03,0.09,0.12,0.03,0.12,3.2576067624613643,3.2576067624613643,3.338346378877759,1,26,9.596967240795493,5.59095348790288
